action,month,day,hour,count,sum,avg,std,step
CASH_IN,10,0,1,5189,804508501.9,155041.1451,131917.0502,1
CASH_IN,10,0,2,1057,167921628.7,158866.2523,134859.017,2
CASH_IN,10,0,3,204,31760625.09,155689.3387,121524.7892,3
CASH_IN,10,0,6,1369,222213997.6,162318.4789,139127.1139,6
CASH_IN,10,0,7,15053,2318890002,154048.3626,131006.811,7
CASH_IN,10,0,8,44498,7002116067,157357.9951,129211.3945,8
CASH_IN,10,0,9,68028,10964669238,161178.7681,131336.9501,9
CASH_IN,10,0,10,44816,7443055912,166080.3265,135267.5916,10
CASH_IN,10,0,11,45611,7585555045,166309.7728,135332.1111,11
CASH_IN,10,0,12,43653,7255323595,166204.4669,136401.0461,12
CASH_IN,10,0,13,44863,7545450765,168188.7249,136538.931,13
CASH_IN,10,0,14,53539,8805758700,164473.7238,131213.6401,14
CASH_IN,10,0,15,58984,9576613481,162359.5124,127514.8211,15
CASH_IN,10,0,16,51758,8451880530,163296.1191,127825.3188,16
CASH_IN,10,0,17,57436,9317195527,162218.7396,126697.8336,17
CASH_IN,10,0,18,70684,11373546477,160906.9447,125105.8932,18
CASH_IN,10,0,19,69148,11112884803,160711.5868,123140.3171,19
CASH_IN,10,0,20,53600,8452550784,157696.843,121474.6063,20
CASH_IN,10,0,21,42982,6734747653,156687.6286,121421.5898,21
CASH_IN,10,0,22,32346,5099873006,157666.2649,120589.9355,22
CASH_IN,10,0,23,17300,2804475777,162108.4264,124358.7332,23
CASH_IN,10,1,0,6724,1118479604,166341.4046,129288.8469,24
CASH_IN,10,1,1,3405,578962040.2,170032.9046,134044.082,25
CASH_IN,10,1,2,849,142275089.3,167579.6104,129812.1698,26
CASH_IN,10,1,3,153,23062521.36,150735.4337,120893.5899,27
CASH_IN,10,1,10,4830,821033537.2,169986.2396,126606.4905,34
CASH_IN,10,1,11,29571,4944618358,167211.7398,126768.7144,35
CASH_IN,10,1,12,57983,9743809537,168045.971,126638.7651,36
CASH_IN,10,1,13,34974,5897063364,168612.7799,127267.6846,37
CASH_IN,10,1,14,34097,5739466846,168327.6196,127699.3835,38
CASH_IN,10,1,15,17357,2875119711,165646.1204,125552.8897,39
CASH_IN,10,1,16,53332,8955899220,167927.3086,125578.9087,40
CASH_IN,10,1,17,48655,8050952879,165470.2061,124780.1399,41
CASH_IN,10,1,18,59735,9818494489,164367.5314,122626.9017,42
CASH_IN,10,1,19,58704,9507480529,161956.2641,121329.3161,43
CASH_IN,10,1,20,50726,8222455050,162095.4747,122332.2837,44
CASH_IN,10,1,21,40942,6581841310,160760.1317,122177.9869,45
CASH_IN,10,1,22,32885,5353119867,162783.0277,121914.2506,46
CASH_IN,10,1,23,21250,3476753011,163611.9064,123490.6439,47
CASH_IN,10,2,0,14619,2430717288,166271.1052,125370.7121,48
CASH_IN,10,2,1,943,158918869.9,168524.7825,124371.3159,49
CASH_IN,10,3,21,8500,1344303717,158153.3784,122366.8557,93
CASH_IN,10,3,22,25126,4011501655,159655.403,121298.3212,94
CASH_IN,10,3,23,18033,2994424675,166052.4968,124463.1789,95
CASH_IN,10,4,0,16219,2660125730,164012.9311,123443.2204,96
CASH_IN,10,4,1,988,167649007.2,169685.23,125211.9372,97
CASH_IN,10,4,23,16272,2657678149,163328.3031,122629.5994,119
CASH_IN,10,5,0,6562,1059881584,161518.0713,120870.7081,120
CASH_IN,10,5,1,1046,174339054.8,166672.1365,126369.653,121
CASH_IN,10,5,2,576,98415303.54,170859.902,124917.6703,122
CASH_IN,10,5,3,229,38703399.97,169010.4802,129412.5043,123
CASH_IN,10,5,12,246,40194679.49,163393.0061,117616.2929,132
CASH_IN,10,5,13,8265,1471051024,177985.6048,130824.0645,133
CASH_IN,10,5,14,24059,4105969050,170662.4984,127439.2716,134
CASH_IN,10,5,15,20343,3544479915,174235.8509,130622.7344,135
CASH_IN,10,5,16,37954,6536817288,172229.9965,128738.1964,136
CASH_IN,10,5,17,39244,6595804218,168071.6598,124278.4888,137
CASH_IN,10,5,18,33967,5565350719,163845.8127,120906.9856,138
CASH_IN,10,5,19,69056,11427777922,165485.6627,122401.1012,139
CASH_IN,10,5,20,52624,8550679138,162486.3016,121418.351,140
CASH_IN,10,5,21,42801,6878453485,160707.7752,121040.9934,141
CASH_IN,10,5,22,32018,5144176010,160665.1262,120084.1905,142
CASH_IN,10,5,23,19832,3232352243,162986.7004,122266.2692,143
CASH_IN,10,6,0,7302,1191446347,163167.125,124274.3926,144
CASH_IN,10,6,1,1593,258030147.2,161977.4935,117610.746,145
CASH_IN,10,6,2,784,130849236.2,166899.536,123851.3397,146
CASH_IN,10,6,3,238,42392815.87,178121.0751,131426.7612,147
CASH_IN,10,6,11,5286,917167114.1,173508.7238,128977.1006,155
CASH_IN,10,6,13,16697,2867060587,171711.121,128968.91,157
CASH_IN,10,6,14,22797,3930862817,172428.9519,128291.1468,158
CASH_IN,10,6,15,23815,4021121503,168848.268,124494.7718,159
CASH_IN,10,6,16,26599,4543003878,170796.0404,126340.2848,160
CASH_IN,10,6,17,43972,7416225444,168657.906,125562.12,161
CASH_IN,10,6,18,53626,8963517356,167148.7218,124320.2328,162
CASH_IN,10,6,19,59378,9727198968,163818.2318,121033.7576,163
CASH_IN,10,6,20,54508,8687147706,159373.8113,119646.6699,164
CASH_IN,10,6,21,41745,6702217774,160551.39,119593.7225,165
CASH_IN,10,6,22,32301,5245823548,162404.3698,121450.2378,166
CASH_IN,10,6,23,20126,3273494220,162650.0159,122583.1124,167
CASH_IN,10,7,0,7771,1264003362,162656.4615,122184.3845,168
CASH_IN,10,7,1,1689,278930154,165145.1474,119975.7141,169
CASH_IN,10,7,2,1008,164963465.6,163654.2318,125022.3803,170
CASH_IN,10,7,13,10464,1760909516,168282.6372,124579.5969,181
CASH_IN,10,7,14,26638,4556709639,171060.5015,126395.6534,182
CASH_IN,10,7,15,28362,4791552580,168942.6902,125224.35,183
CASH_IN,10,7,16,32258,5493097084,170286.3502,125644.9278,184
CASH_IN,10,7,17,45713,7719182290,168861.8618,125870.802,185
CASH_IN,10,7,18,53262,8918270511,167441.5251,123300.8124,186
CASH_IN,10,7,19,61074,10096600849,165317.4976,121431.8648,187
CASH_IN,10,7,20,54926,8867721690,161448.5251,120146.4578,188
CASH_IN,10,7,21,44145,7124598808,161390.844,121389.8495,189
CASH_IN,10,7,22,31728,5136400096,161888.5557,121200.6697,190
CASH_IN,10,7,23,23353,3824945176,163788.1718,122580.9239,191
CASH_IN,10,8,0,7720,1274431027,165081.7392,123302.2658,192
CASH_IN,10,8,1,2607,427707530,164061.1929,123208.5033,193
CASH_IN,10,8,2,774,129311273.6,167068.8289,124794.2312,194
CASH_IN,10,8,3,350,59011937.73,168605.5364,118292.8807,195
CASH_IN,10,8,12,3754,617291226.9,164435.5959,123113.0756,204
CASH_IN,10,8,13,18262,3087969489,169092.6234,124385.918,205
CASH_IN,10,8,14,18189,3051882635,167787.269,123928.9884,206
CASH_IN,10,8,15,20616,3436068446,166669.9867,122285.8089,207
CASH_IN,10,8,16,29967,5028593466,167804.367,123383.6265,208
CASH_IN,10,8,17,29515,4867708164,164923.1971,123166.4005,209
CASH_IN,10,8,18,36799,6074947928,165084.5927,122168.0558,210
CASH_IN,10,8,19,42360,6983944827,164871.2188,122039.0873,211
CASH_IN,10,8,20,49965,8139824862,162910.5346,122821.3078,212
CASH_IN,10,8,21,39889,6469443629,162186.1573,122784.0319,213
CASH_IN,10,8,22,29423,4861863834,165240.2486,123936.3716,214
CASH_IN,10,8,23,20173,3336537350,165396.1904,123678.934,215
CASH_IN,10,9,0,8626,1437482830,166645.3548,125358.5741,216
CASH_IN,10,9,1,6960,1168526932,167891.8006,124394.4406,217
CASH_IN,10,9,12,2213,390376579.2,176401.527,130795.3912,228
CASH_IN,10,9,13,6481,1150093658,177456.204,131528.2961,229
CASH_IN,10,9,14,1674,303963620.4,181579.2237,132899.5895,230
CASH_IN,10,9,15,16543,2860595532,172918.7893,129601.9937,231
CASH_IN,10,9,16,31632,5492419117,173634.8987,129430.9101,232
CASH_IN,10,9,18,42961,7307836885,170103.9754,125074.9619,234
CASH_IN,10,9,19,68448,11444377123,167198.123,122834.4969,235
CASH_IN,10,9,20,53722,8789619086,163613.0279,121750.0453,236
CASH_IN,10,9,21,40349,6560551898,162595.1547,122535.3275,237
CASH_IN,10,9,22,28424,4681884585,164715.8945,121606.7332,238
CASH_IN,10,9,23,21644,3574426561,165146.302,121762.8607,239
CASH_IN,10,10,0,7896,1314430641,166467.913,122693.9079,240
CASH_IN,10,10,1,3431,580995790.5,169337.1584,125041.3614,241
CASH_IN,10,10,2,1101,181483564.2,164835.2081,118959.087,242
CASH_IN,10,10,12,1727,314632655.3,182184.5138,134530.2406,252
CASH_IN,10,10,13,9790,1689190243,172542.415,129348.6595,253
CASH_IN,10,10,14,14451,2458315720,170113.8828,125549.5262,254
CASH_IN,10,10,15,19537,3327481428,170316.9078,125886.525,255
CASH_IN,10,10,16,23056,3915093981,169808.0318,125268.405,256
CASH_IN,10,10,17,19142,3231423110,168813.2437,124422.3503,257
CASH_IN,10,10,18,25363,4260380785,167976.2167,123256.5723,258
CASH_IN,10,10,19,63801,10472989247,164150.8636,121819.9468,259
CASH_IN,10,10,20,48325,7921413136,163919.5683,121392.9002,260
CASH_IN,10,10,21,39347,6453500737,164015.0643,122009.2652,261
CASH_IN,10,10,22,30488,5107890541,167537.7375,123890.6197,262
CASH_IN,10,10,23,22523,3788865667,168222.0693,124491.9046,263
CASH_IN,10,11,0,8057,1395201349,173166.3583,126233.0824,264
CASH_IN,10,11,1,3654,628384348.9,171971.6335,127053.5956,265
CASH_IN,10,11,2,866,145631658.6,168165.8876,124203.023,266
CASH_IN,10,11,3,341,58551155.19,171704.2674,125636.8547,267
CASH_IN,10,11,12,1,85764.03,85764.03,0,276
CASH_IN,10,11,13,584,94399120.99,161642.3305,121760.8596,277
CASH_IN,10,11,15,282,48946497.88,173569.1414,123936.2822,279
CASH_IN,10,11,17,14610,2411162009,165035.0451,121740.2797,281
CASH_IN,10,11,18,31214,5287071850,169381.4266,124795.5574,282
CASH_IN,10,11,19,37800,6254294262,165457.5202,123971.1885,283
CASH_IN,10,11,20,46550,7711565532,165661.9878,124870.3764,284
CASH_IN,10,11,21,35791,6103081469,170520.0042,126642.9126,285
CASH_IN,10,11,22,29523,5060426646,171406.2475,126142.0195,286
CASH_IN,10,11,23,18349,3171109252,172821.9114,127814.6451,287
CASH_IN,10,12,0,7947,1388328923,174698.4929,128331.3363,288
CASH_IN,10,12,1,1587,281885488.6,177621.6059,131118.1627,289
CASH_IN,10,12,2,668,116573274.6,174510.8901,130937.6234,290
CASH_IN,10,12,3,160,27008731.2,168804.57,115080.6672,291
CASH_IN,10,12,13,4659,840966464.1,180503.6411,131748.1279,301
CASH_IN,10,12,14,12286,2196110468,178749.0207,129625.5498,302
CASH_IN,10,12,15,7381,1358468526,184049.387,133406.3944,303
CASH_IN,10,12,16,15360,2712499015,176594.9879,126800.5942,304
CASH_IN,10,12,17,42321,7510698427,177469.7769,129457.7155,305
CASH_IN,10,12,18,53631,9403193128,175331.3033,127047.5731,306
CASH_IN,10,12,19,51598,8953078313,173515.9951,125460.0153,307
CASH_IN,10,12,20,56157,9564323454,170314.0028,125136.0968,308
CASH_IN,10,12,21,42048,7136590875,169724.8591,125521.9202,309
CASH_IN,10,12,22,29306,5010359545,170967.0219,125547.5715,310
CASH_IN,10,12,23,23313,4030909523,172903.9387,126456.689,311
CASH_IN,10,13,0,6682,1147693554,171758.9874,126630.4191,312
CASH_IN,10,13,1,1425,247213910.7,173483.4461,127297.8335,313
CASH_IN,10,13,2,830,143908715.5,173383.9946,127568.4382,314
CASH_IN,10,13,11,1171,210881756.4,180086.897,129019.1599,323
CASH_IN,10,13,12,1234,224377477.1,181829.398,128270.6095,324
CASH_IN,10,13,13,1478,264902641.3,179230.4745,127635.5678,325
CASH_IN,10,13,14,4015,747628733.6,186208.9,137610.7694,326
CASH_IN,10,13,17,15568,2739506766,175970.373,126609.3922,329
CASH_IN,10,13,18,36888,6393274350,173315.8304,126491.7861,330
CASH_IN,10,13,19,38977,6737227839,172851.3698,125444.1528,331
CASH_IN,10,13,20,52941,9013013420,170246.3765,124718.8438,332
CASH_IN,10,13,21,38670,6644965054,171837.7309,126079.8365,333
CASH_IN,10,13,22,31948,5365081404,167931.6829,123819.4105,334
CASH_IN,10,13,23,26967,4581484425,169892.2544,124775.1662,335
CASH_IN,10,14,0,5202,909434105.4,174823.9341,128566.0332,336
CASH_IN,10,14,1,712,121529569.4,170687.5975,128924.8655,337
CASH_IN,10,14,2,693,118837153.1,171482.1835,129671.1454,338
CASH_IN,10,14,13,2430,444864564.3,183071.8372,130027.2226,349
CASH_IN,10,14,14,1773,312217972.8,176095.8673,126225.2701,350
CASH_IN,10,14,18,30010,5214679343,173764.7232,125744.05,354
CASH_IN,10,14,19,36994,6409567856,173259.6598,125931.6979,355
CASH_IN,10,14,20,48060,8092994786,168393.5661,123518.3954,356
CASH_IN,10,14,21,42206,7145255371,169294.7773,123925.9585,357
CASH_IN,10,14,22,30618,5280656318,172469.0155,127197.8689,358
CASH_IN,10,14,23,19740,3273228719,165817.0577,118541.3637,359
CASH_IN,10,15,0,7170,1132662552,157972.4619,111923.702,360
CASH_IN,10,15,1,837,130041824.4,155366.5764,113228.5532,361
CASH_IN,10,15,2,11,829278.79,75388.98091,60530.96142,362
CASH_IN,10,15,12,340,75360184.48,221647.6014,149571.3028,372
CASH_IN,10,15,13,536,97244008.11,181425.3883,127048.4975,373
CASH_IN,10,15,14,438,83924009.39,191607.3274,127499.1124,374
CASH_IN,10,15,15,1980,411840247.4,208000.1249,144077.248,375
CASH_IN,10,15,16,901,164754881.6,182857.8042,127833.9629,376
CASH_IN,10,15,19,828,122788130.4,148294.8435,106577.9693,379
CASH_IN,10,15,20,7130,950998609.6,133379.8891,92229.78977,380
CASH_IN,10,15,21,4291,466219163,108650.4691,75405.21534,381
CASH_IN,10,15,22,2204,278358196.1,126296.8222,87624.11033,382
CASH_IN,10,15,23,795,104130345.1,130981.5662,91533.59819,383
CASH_IN,10,16,0,175,24898418.94,142276.6797,90829.08182,384
CASH_IN,10,16,1,49,7947845.46,162200.9278,89009.43741,385
CASH_IN,10,16,2,10,423932.47,42393.247,26685.00886,386
CASH_IN,10,16,10,2104,387159740.1,184011.2833,125984.1875,394
CASH_IN,10,16,12,1059,204847285.4,193434.6415,136534.6477,396
CASH_IN,10,16,13,1374,297734311.4,216691.6386,147570.3477,397
CASH_IN,10,16,19,2598,428580300.5,164965.4736,115358.8819,403
CASH_IN,10,16,20,6359,869181842.3,136685.3031,96982.49319,404
CASH_IN,10,16,21,4327,605203540.5,139866.7762,98260.44534,405
CASH_IN,10,16,22,2371,275508129.2,116199.1266,81928.68268,406
CASH_IN,10,16,23,855,140873566.2,164764.4049,116784.1493,407
CASH_IN,10,17,0,388,42736727.07,110146.2038,73951.42526,408
CASH_IN,10,17,1,18,3578378.47,198798.8039,111353.8301,409
CASH_IN,10,17,8,540,81004341.88,150008.0405,105513.0125,416
CASH_IN,10,17,11,519,100191034.5,193046.3093,134863.9961,419
CASH_IN,10,17,12,956,170290100.7,178127.7204,124759.219,420
CASH_IN,10,17,14,492,112036888.8,227717.2537,148173.0417,422
CASH_IN,10,17,15,323,71465770.78,221256.2563,157542.0741,423
CASH_IN,10,17,18,1848,309067831.3,167244.4975,116592.4892,426
CASH_IN,10,17,20,1020,106430349.1,104343.4795,69818.33539,428
CASH_IN,10,17,21,702,71048083.21,101208.0957,70173.94897,429
CASH_IN,10,17,23,143,11664978.78,81573.27818,58981.7749,431
CASH_IN,10,18,7,17,2205805.6,129753.2706,91178.39401,439
CASH_IN,10,18,10,418,51144631.55,122355.5779,85201.15133,442
CASH_IN,10,18,13,13,1330312.14,102331.7031,84704.75935,445
CASH_IN,10,18,16,829,88709560.44,107007.9137,72648.59497,448
